index,_id,comment,rating_star,pred_label
0,62aa02bdbabeb86400b28328,"Giao hàng nhanh đóng gói tốt nhưng chất lượng sản phẩm khá kém 
Mình đã bọc lớp vỏ nhưng vẫn thấy mờ",3,neural
1,62a9f9f1880a053247b797fb,"Khá ngon,nhưng chắc do shop đóng gói ko kĩ nên bị vỡ hết,shop còn giao thiếu cho mình 1 gói ạ.Lần sau shop lưu ý nhé",3,neural
2,62a9f2b9880a053247b71fb8,"Máy chạy ok, nhưng kim phút bị lỗi gắn không vào nhé. Rất mong shop fix kim giúp ạ",4,neural
3,62a9f99b880a053247b793f1,"Đã nhận đc hàng, bóng đủ kích cỡ nhưng gai bóng lần này quá nhọn chọc vào người rất đau, bóng xanh mua lần trc gai tròn chứ ko giống bóng này.",4,neural
4,62a9ef65880a053247b6ecca,Ram lắp cho main  của shop không nhân nhưng main khác thì nhận ngay! Dù sao cũng cảm ơn shop đóng gói sản phẩm cẩn thận,3,neural
5,62a9fba5880a053247b7b199,Ốc thì răng nó không khớp cho 4 sao thôi jdjjdjdjndnkdkdjjjd,4,neural
6,62a9efbd880a053247b6f30c,"Shop kh bọc túi bóng trắng nên bóc ra hình như có người dùng rồi ý, son kiểu bị thiếu
Thôi thế là tạm đc",4,neural
7,62a9eb4c880a053247b6b045,Tốc,3,positive
8,62a9f416880a053247b738bb,Khá ổn,4,positive
9,62a9eba3880a053247b6b53b,Mua về chưa đk 3 hôm đã sịt,2,negative
10,62a9f30e880a053247b725ce,Hàng bị lỗi bong mép dán,4,negative
11,62aa00e6babeb86400b27a84,Hàng bé lắm. Thôi mua 17k nên cũng đành. Ndjd ndj ndjd. Ndjd nd,3,neural
12,62a9f20b880a053247b715a2,Giao hàng lâu. Đóng gói cẩn thận. Đúng sản phẩm. . . .. . . . . . .. . . . . . . .,3,neural
13,62a9ee61880a053247b6e047,"Xe nhỏ , gọn , nhẹ, dễ gấp gọn k phải lắp đặt
Xe nhiều chi tiết han gỉ trầy xước, vỏ hàng nát bét 
Tay đẩy lỏng lẻo
Bánh xe nhỏ đi đường gồ ghề dễ lật",4,neural
14,62a9e9ea880a053247b69710,Chất lượng sản phẩm tạm được,3,neural
15,62a9ee61880a053247b6df14,"Đủ số lượng ,tg giao hàng rất nhanh 
Nhưng sao không dạ quang",3,neural
16,62a9f8d5880a053247b7870b,"Màu vải cũ sờn,mỏng dính,đóng gói hàng ko chắc chắn mỏng dính",2,negative
17,62a9eba3880a053247b6b6a8,"Sản phẩm không giống mô tả lắm. Đóng không được chắc chắn, giống hàng gia công. Tăm bông cho bé nhưng đầu tăm bông hơi to phù hợp sử dụng cho người lớn hơn. ",4,negative
18,62a9f87c880a053247b78312,"Gói hàng còn sơ sài, cũng may là chưa hỏng! Ksbaia diw suabdia",4,negative
19,62a9eda1880a053247b6d559,Bị bẹp đóng gói ko cẩn thận. Nhưng giá hợp lý nên vẫn hài lòng,4,positive
20,62a9efbd880a053247b6f1c7,"Kết cấu:đặc
Mùi hương:thơm

Rửa mặt khô lắm, cảm giác bao bì đẹp nhưng nên có lớp vẩy ở đầu năm tránh sản phẩm bị tràn ra mua về cảm giác như bị ai đó bóc ra dùng r Ấy",2,negative
21,62a9e992880a053247b690ca,"Sản phẩm như hình nhưng không thấy nâng,mút mỏng Giá cả chấp nhận được",3,neural
22,62a9f20b880a053247b715d0,"Khẩu trang mỏng, phần mũi k ôm",3,negative
